"","shortnam","avexpr","logem4","avelf","catho80","muslim80","legor_fr","no_cpm80","f_brit","f_french","temp1","temp2","temp3","temp4","temp5","humid1","humid2","humid3","humid4","steplow","deslow","stepmid","desmid","drystep","drywint","edes1975","euro1900","landlock","goldm","iron","silv","zinc","oilres","malfal94","leb95","imr95","meantemp","lt100km","yellow","lat_abst","ind_time","exconst_01","democ_01","exconst_00","democ_00","logpgp95","loghjypl","baseco","neo_europe"
"21","BRA",7.90909099578857,4.26268005371094,0.0557809,87.8,0.1,1,8.099997,0,0,25,32,39,10,18,82,87,68,74,1,0,0,0,0,0,55,40,0,2,0.100000001490116,0,1,19400,0.1935,66.78,42.4,23.7,0.092516,1,0.1111111,1824,1,1,3,1,8.99849405960857,-1.80238842353447,TRUE,FALSE
"22","BRB",NA,4.44265127182007,0.0733333,5.9,0.2,0,60.7,1,0,26,31,33,16,21,67,79,64,78,0,0,0,0,0,0,20,20,0,0,0,0,0,21000,NA,NA,NA,NA,NA,1,0.1455556,NA,NA,NA,NA,NA,9.21879367798163,-0.907976104748794,FALSE,FALSE
"23","BTN",NA,NA,0.4375,0,5,0,95,1,0,17,24,36,-2,18,68,90,53,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.3033333,1907,1,0,NA,NA,7.68570816912175,-2.7339800573817,FALSE,FALSE
"24","BWA",7.72727251052856,NA,0.3775,9.4,0,0,63.8,1,0,20,31,42,-4,10,55,74,55,74,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.2444444,1966,5,6,NA,NA,8.85683352054624,-1.70038811432566,FALSE,FALSE
"25","CAF",NA,5.63478946685791,0.7855555,33.1,3.2,1,13.7,0,1,27,34,38,14,18,90,96,49,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.0777778,1960,1,0,NA,NA,6.48599087198317,-3.49950230163448,FALSE,FALSE
"26","CAN",9.72727298736572,2.77881932258606,0.3761876,46.6,0.6,0,23.2,1,0,4,12,39,-37,3,76,90,40,76,0,0,1,0,0,0,98,99,0,4,7,13,15,185000,0,78.98,6,-0.2,0.021164,0,0.6666667,1867,7,7,7,9,10.0606144282572,-0.380719399428612,TRUE,TRUE
"27","CHE",10,NA,0.307598,52.8,0.3,0,3.7,0,0,9,15,38,-23,7,80,92,51,76,0,0,0,0,0,0,100,100,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5222222,1848,7,10,7,10,10.3048269951257,-0.346252366516719,FALSE,FALSE
"28","CHL",7.81818199157715,4.23265600204468,0.050625,82.1,0,1,16,0,0,17,27,37,-4,6,70,93,38,64,1,1,0,0,0,0,50,50,0,0,0,0,0,21700,0,74.94,12.8,13.4,0.660182,0,0.3333333,1816,1,1,7,5,8.90270451771605,-1.39890399470081,TRUE,FALSE
"29","CHN",7.77272748947144,4.77068471908569,0.2333264,0,2.4,0,97.6,0,0,11,13,43,-23,15,46,74,46,74,0,0,1,1,0,0,0,0,0,0,5,0,3,19800,NA,NA,NA,NA,NA,0,0.3888889,1800,1,1,1,1,7.52970400874742,-3.06345230987436,FALSE,FALSE
"30","CIV",7,6.50428819656372,0.8565299,18.5,24,1,52.8,0,1,26,31,36,15,20,93,96,71,82,0,0,0,0,0,0,0,0,0,0,0,0,0,7460,1,46.72,87.3,26.0907,0.171056,1,0.0888889,1960,1,0,NA,NA,7.64696495732608,-2.49256382225153,TRUE,FALSE
"31","CMR",6.45454549789429,5.63478946685791,0.8520455,35,22,1,24.9,0,0,25,31,36,14,17,97,98,62,75,0,0,0,0,0,0,0,0,0,0,0,0,0,31900,1,54.73,74.4,24.43333,0.09824,1,0.0666667,1960,5,4,NA,NA,7.40545315663118,-2.64033047028784,TRUE,FALSE
"32","COG",4.68181800842285,5.48063898086548,0.6692753,53.9,0.4,1,20.8,0,1,25,32,37,12,19,77,89,54,71,0,0,0,0,0,0,0,0,0,0,0,0,0,338000,1,48.55,89.5,24.74141,0.047893,1,0.0111111,1960,4,4,NA,NA,8.06980781308327,-2.68634002407896,TRUE,FALSE
"33","COL",7.31818199157715,4.26268005371094,0.055796,96.6,0.2,1,2.300002,0,0,14,22,24,4,7,82,88,51,64,0,0,0,0,0,0,25,20,0,0,0,0,0,57,0.2499,70.43,30,22.5,0.159722,1,0.0444444,1832,3,4,3,1,8.76433662463114,-1.41779195211069,TRUE,FALSE
"34","COM",NA,NA,1,0.1,99.7,1,0.100003,0,1,26,30,33,19,22,74,79,74,78,0,0,0,0,0,0,5,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1344444,1975,5,4,NA,NA,7.38412355747653,-1.63624534607078,FALSE,FALSE
"35","CPV",NA,NA,0.375,95.9,0,1,1.099998,0,0,25,30,34,13,22,58,74,54,73,0,0,0,0,0,0,5,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1777778,1975,5,2,NA,NA,7.46639341898831,-2.70821871378151,FALSE,FALSE
"36","CRI",7.04545450210571,4.35799026489258,0.0532143,90.5,0,1,3.7,0,0,21,29,33,9,14,80,92,55,78,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,76.03,12.1,25.1,1,1,0.1111111,1838,3,0,7,8,8.77435396750738,-1.44814325663022,TRUE,FALSE
"37","CZE",8.8636360168457,NA,NA,39.2,0,0,56.2,0,0,5,13,38,-28,6,74,87,45,78,0,0,0,0,0,0,100,100,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5494444,1993,7,10,NA,NA,9.53430223103507,NA,FALSE,FALSE
"38","DEU",NA,NA,0.0437553,35,0.02,0,18.58,0,0,8,14,38,-24,8,78,91,50,81,0,0,0,0,0,0,100,100,0,0,0,0,0,5580,NA,NA,NA,NA,NA,0,0.5666667,1800,1,0,4,4,10.0650829034325,-0.705313863951425,FALSE,FALSE
"39","DJI",NA,3.25809645652771,0.7142857,6.7,90.6,1,2.500002,0,1,32,34,47,17,23,57,84,43,74,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1255556,1977,2,0,NA,NA,NA,-2.45882654641482,FALSE,FALSE
"40","DNK",9.72727298736572,NA,0.0275,0.6,0.2,0,4.000003,0,0,8,10,33,-24,8,70,89,59,87,0,0,0,0,0,0,100,100,0,0,0,0,0,141000,NA,NA,NA,NA,NA,0,0.6222222,1800,1,0,3,1,10.0275328049111,-0.636946011747028,FALSE,FALSE
"41","DOM",6.18181800842285,4.86753463745117,0.0108306,96.6,0,1,2.000001,0,1,26,33,37,15,20,88,92,58,66,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,70.61,33.6,25.6,1,1,0.2111111,1844,3,1,3,1,8.50458096642633,-1.65827709334424,TRUE,FALSE
"42","DZA",6.5,4.35926961898804,0.293724,0.5,99.1,1,0.4000015,0,1,21,24,42,0,1,67,75,57,66,0,1,0,0,0,0,0,13,0,0,0,0,0,339000,0,68.89,43.8,19.3,0.047186,0,0.3111111,1962,2,0,NA,NA,8.86542233238416,-0.696099564768218,TRUE,FALSE
"43","ECU",6.54545450210571,4.26268005371094,0.3253571,96.4,0,1,1.699998,0,0,15,26,30,0,4,80,94,40,60,0,0,1,0,0,0,30.0000019073486,30.0000019073486,0,0,0,0,0,141,0.13725,69.52,45.6,19.1,0.368411,0,0.0222222,1830,3,1,3,1,8.63710538138213,-1.61702917340743,TRUE,FALSE
"44","EGY",6.77272748947144,4.21656227111816,0.0230618,0.2,81.8,1,17.8,1,0,24,31,47,1,17,50,70,18,41,0,1,0,0,0,0,0,0,0,0,0,0,0,111000,0,66.27,50.5,22.6,0.239163,0,0.3,1951,7,7,NA,NA,8.40394385124867,-2.49434177507154,TRUE,FALSE
"45","ERI",NA,NA,NA,0,33,1,NA,0,0,31,33,44,17,23,56,83,44,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.1666667,1993,3,0,NA,NA,7.13800166029681,NA,FALSE,FALSE
"46","ESP",9.68181800842285,NA,0.2745161,96.9,0,1,2.999999,0,0,15,16,39,-10,8,58,86,33,71,0,0,0,0,0,0,100,100,0,0,0,0,3,575,NA,NA,NA,NA,NA,0,0.4444444,1800,1,0,7,6,9.69574352115315,-0.699160225920238,FALSE,FALSE
