shortnam;avexpr;logem4;avelf;protmg80;no_cpm80;catho80;muslim80;legor_fr;f_brit;f_french;temp1;temp2;temp3;temp4;temp5;humid1;humid2;humid3;humid4;steplow;deslow;stepmid;desmid;drystep;drywint;edes1975;euro1900;landlock;goldm;iron;silv;zinc;oilres;malfal94;leb95;imr95;meantemp;lt100km;yellow;lat_abst;ind_time;exconst_01;democ_01;exconst_00;democ_00;exconst_70;exconst_90;logpgp95;loghjypl;baseco;neo_europe;africa;asia
LTU;NA;NA;NA;0,4;85,6;80;0;0;0;0;5;7;33;-33;5;70;91;58;89;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,6222222;1918;7;7;1;1;1;7;8,685435128;NA;0;0;0;0
LUX;10;NA;0,2166667;29,8;26,7;93;0;1;0;0;9;11;37;-20;5;85;95;58;91;0;0;0;0;0;0;100;100;1;0;0;0;0;0;NA;NA;NA;NA;NA;0;0,5494444;NA;NA;NA;NA;NA;NA;NA;10,58661594;-0,140983697;0;0;0;0
LVA;NA;NA;NA;;NA;18,2;0,01;0;0;0;4;7;33;-33;5;70;91;58;89;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,6333333;1920;7;7;1;1;1;7;8,612694899;NA;0;0;0;0
MAR;7,090909004;4,359269619;0,3479719;14,1;67,69;0,2;99,4;1;0;1;24;27;48;0;12;87;92;59;72;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;66,64;51;18,5;0,3677858;0;0,3555556;1800;1;1;1;1;1;2;7,96550418;-1,889510887;1;0;1;0
MDA;NA;NA;NA;0;0,3999985;0;0;0;0;0;10;8;35;-25;9;69;92;50;84;0;0;0;0;0;0;100;100;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,5222222;1991;5;5;1;1;1;1;8,066607859;NA;0;0;0;0
MDG;4,454545498;6,284208775;0,0627486;4,6;4,700003;26;1,7;1;0;1;18;27;35;1;12;85;94;49;71;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;57,51;82,5;23,3;0,570964;1;0,2222222;1960;3;2;1;1;3;3;7,055552999;-3,393162327;1;0;1;0
MEX;7,5;4,262680054;0,1740741;22;50,3;94,7;0;1;0;0;16;23;32;-3;9;66;86;26;54;0;1;0;0;0;0;15,00000095;15,00000095;0;0;0;13;4;570000;0,00013;72,18;31;19;0,37255;1;0,2555556;1822;3;1;1;0;3;4;9,045773771;-1,040994384;1;0;0;0
MKD;NA;NA;NA;1,2;4,100003;0,5;30,1;0;0;0;10;20;41;-22;7;70;94;46;76;0;0;0;0;0;0;100;100;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4611111;1991;5;6;1;1;1;1;8,506703511;NA;0;0;0;0
MLI;4;7,986165047;0,8085691;;NA;0,7;80;1;0;1;29;36;47;8;19;33;94;18;73;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0,620000005;53,3;118;29,3;0;1;0,1888889;1960;3;0;1;1;1;1;6,840690223;-3,729576251;1;0;1;0
MLT;7,227272511;2,791165113;0,1033333;1;68,4;97,3;0;1;1;0;23;22;40;5;18;71;78;59;68;0;0;0;0;0;0;100;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0,3944444;NA;NA;NA;NA;NA;NA;NA;9,543749451;-1,017087076;1;0;0;0
